gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
SLC22A25,11,99,-0.7535818181818182,-0.708789898989899,-0.04479191919191927,0.6259245139636536,0.8678476128131297,1.0,1.0
KRT39,11,99,-0.6871636363636363,-0.6484626262626263,-0.038701010101010014,0.6259245139636536,0.8678476128131297,1.0,1.0
TPPP2,11,99,-0.5222545454545453,-0.46888080808080784,-0.05337373737373746,0.6259245139636536,0.8678476128131297,1.0,1.0
CELF3,11,99,-0.1615272727272727,-0.20076262626262628,0.03923535353535357,0.626644816060098,0.8687918973286132,1.0,1.0
MRO,11,99,-0.32635454545454545,-0.23437070707070712,-0.09198383838383833,0.6266792253049462,0.8687918973286132,1.0,1.0
LINC02324,11,99,-0.4720090909090909,-0.41405858585858585,-0.05795050505050503,0.6267385426748953,0.8688230723218415,1.0,1.0
LGALS9B,11,99,-0.11259090909090902,-0.13789595959595957,0.025305050505050553,0.6268640576891125,0.8689460054581128,1.0,1.0
PAPOLB,11,99,-0.5171727272727273,-0.42535454545454554,-0.0918181818181818,0.6271795518240162,0.8693322538062485,1.0,1.0
MYOC,11,99,-0.3952090909090909,-0.3750787878787879,-0.020130303030303,0.6272678833694203,0.8693525273887918,1.0,1.0
FOXA3,11,99,-0.5982090909090909,-0.4640272727272728,-0.13418181818181812,0.6272678833694203,0.8693525273887918,1.0,1.0
DMRTC2,11,99,-0.5808272727272727,-0.5446121212121213,-0.03621515151515142,0.6277303133246195,0.8699423153171058,1.0,1.0
VHLL,11,99,-0.2756272727272727,-0.2941555555555555,0.018528282828282783,0.6279334336034603,0.8699795779786241,1.0,1.0
IGSF1,11,99,-0.4755545454545454,-0.4471020202020202,-0.028452525252525174,0.6280949548934491,0.8699795779786241,1.0,1.0
TINAG,11,99,-0.44642727272727284,-0.40493535353535354,-0.0414919191919193,0.6281259928839308,0.8699795779786241,1.0,1.0
GPR50,11,99,-0.4975727272727273,-0.4640464646464646,-0.03352626262626268,0.6281259928839308,0.8699795779786241,1.0,1.0
MMP10,11,99,-0.9608818181818181,-0.8645737373737373,-0.09630808080808073,0.6281259928839308,0.8699795779786241,1.0,1.0
HCCAT5,11,99,-0.8188545454545455,-0.7145444444444445,-0.10431010101010096,0.6281259928839308,0.8699795779786241,1.0,1.0
LINC02412,11,99,-0.5771181818181818,-0.5046898989898989,-0.07242828282828284,0.6281259928839308,0.8699795779786241,1.0,1.0
RACGAP1P,11,99,-0.6125999999999999,-0.5096161616161616,-0.10298383838383829,0.6281259928839308,0.8699795779786241,1.0,1.0
SLC10A1,11,99,-0.5524636363636364,-0.6000434343434344,0.047579797979798055,0.6281259928839308,0.8699795779786241,1.0,1.0
